"Feature_ID","RC20.MSKC.00573","RC20.MSKC.00574","RC20.MSKC.00575","RC20.MSKC.00576","RC20.MSKC.00577","RC20.MSKC.00581","RC20.MSKC.00582","RC20.MSKC.00583","RC20.MSKC.00584","RC20.MSKC.00585","RC20.MSKC.00589","RC20.MSKC.00590","RC20.MSKC.00591","RC20.MSKC.00592","RC20.MSKC.00593","RC20.MSKC.00597","RC20.MSKC.00598","RC20.MSKC.00599","RC20.MSKC.00600","RC20.MSKC.00601","RC20.MSKC.00605","RC20.MSKC.00606","RC20.MSKC.00607","RC20.MSKC.00608","RC20.MSKC.00609","RC20.MSKC.00621","RC20.MSKC.00623","RC20.MSKC.00624","RC20.MSKC.00625","RC20.MSKC.00627","RC20.MSKC.00629","RC20.MSKC.00630","RC20.MSKC.00631","RC20.MSKC.00632","RC20.MSKC.00635","RC20.MSKC.00638","RC20.MSKC.00639","RC20.MSKC.00640","RC20.MSKC.00642","RC20.MSKC.00644","RC20.MSKC.00645","RC20.MSKC.00646","RC20.MSKC.00647","RC20.MSKC.00648","RC20.MSKC.00650","RC20.MSKC.00651","RC20.MSKC.00652","RC20.MSKC.00654","RC20.MSKC.00655","RC20.MSKC.00656","RC20.MSKC.00657","RC20.MSKC.00658","RC20.MSKC.00578","RC20.MSKC.00579","RC20.MSKC.00580","RC20.MSKC.00586","RC20.MSKC.00587","RC20.MSKC.00588","RC20.MSKC.00594","RC20.MSKC.00595","RC20.MSKC.00596","RC20.MSKC.00602","RC20.MSKC.00603","RC20.MSKC.00604","RC20.MSKC.00610","RC20.MSKC.00611","RC20.MSKC.00612","RC20.MSKC.00626","RC20.MSKC.00628","RC20.MSKC.00633","RC20.MSKC.00637","RC20.MSKC.00641","RC20.MSKC.00643","RC20.MSKC.00649","RC20.MSKC.00653","RC20.MSKC.00659"
"Metab595",24.5606162457799,25.313471633992,25.6169836019384,25.3877262965912,25.8612931300061,24.6310662755103,25.2131420890511,25.7068224314625,25.0973882116932,25.7157394341641,25.7849510442147,27.5153392695415,26.4550292513574,23.6353573737133,25.4391575777899,21.8638823084966,24.5796279709527,23.8215520778408,25.0097812454128,26.079614688929,23.8640634359152,27.3305155578562,25.5409947766616,25.8649891085133,25.4934197885852,26.9226567880746,26.277439575632,25.1045172550339,24.2957307628713,24.0187949533155,25.2351767709929,24.8682925146559,24.9583652234988,25.1453376547994,25.4671524149438,24.724328324471,23.6622103078713,24.2659259336163,24.766750095624,23.7096378408015,25.0605510938786,22.7551365047885,22.8885239900923,22.8867246509521,25.0045331429767,26.9008873063683,23.8185421060473,23.1548395579921,24.0788095247353,24.3860343162005,24.2646999988987,25.9004068300687,23.5566595726434,23.619453935127,23.9473365374786,23.8236073745992,25.2843776711326,23.561653189441,24.720335671049,25.9885014506712,25.1722953486187,23.6448881965049,23.6864042501345,22.9792090895884,23.4670663762648,24.5753315147573,23.327091896882,23.6520939752473,23.8932993681981,22.574768817997,23.5144005662023,24.4345565655797,23.4722646840014,24.6255315268742,23.8474388662105,23.073835792468
"Metab588",23.4851290187378,24.2193568978371,24.1883824996395,23.6390195985054,23.7274408404425,22.305542332563,22.782163198313,23.2678353502491,23.0628565223908,23.6292185380543,24.1859333953941,24.4425504494161,23.5213365236959,22.8174096469074,23.2953434605296,21.744683432544,22.3031551601397,21.45411200102,22.4406787031437,24.7346834762198,23.1805111028508,27.6899835066726,24.9326660246194,24.754096491556,24.5437806242784,24.3565103047063,22.8298354325153,23.0547672011792,23.0888880717785,23.2197716434376,21.9721302435955,21.9231823846548,22.1078798867579,23.1341761637108,20.9292111887461,23.2346030311984,22.6053120066702,22.0209744271075,22.2964030767159,23.5091937710603,24.0117692863981,21.6166188406217,20.8561113828601,22.1417730053256,23.6849024899756,23.8067002143182,23.0570010409402,23.1807817559285,22.090752672153,24.2866535123449,24.1634458692112,22.6810836398292,22.6078145056527,22.7253496248745,22.8667218532394,22.9634102839144,23.3386010988979,22.5736442296762,24.3034507079784,24.1689720612791,24.0666342329941,22.866314764443,22.3903579226386,22.0879533692584,22.8464008889927,23.3574430184068,22.5561525909343,21.9928939409732,22.3707053654511,21.3841644041475,22.9017637469407,23.200141530906,21.7231628148968,22.9851283640396,22.5323720639754,22.0914182111138
"Metab592",24.0927588454373,24.8215708031871,25.1086263072232,24.9644746261719,25.3037512235253,24.0120939556798,24.1609946240655,24.7157044005265,24.1617773044795,24.7859011076688,25.7819050719082,27.2642207425422,25.9884314937597,23.8393306385834,25.2831700227576,23.5107493551564,25.6738837334492,24.7848915255218,25.784893815346,26.836054974624,23.8270201007257,26.6078623799339,25.4365473598247,25.5860433088364,25.5424636297771,27.1554787398441,26.7870992198584,25.6543642368135,24.6174877750027,24.5721551863956,26.0892854529828,25.8049403862396,26.1029109621876,25.4792383350252,26.6929664589241,24.5740083924465,23.8743481609658,24.14617761494,24.4185574494145,24.1455906429468,23.86153878911,22.0000369490316,21.9707518913884,22.7578590132215,25.9139361789569,27.1253873034664,24.5156657648235,23.6770822390341,25.1461839740089,25.1272136013847,24.445673588898,27.0196944598107,23.9088028843876,23.9194241129765,23.9821506714532,24.2092798009638,25.0276413438307,24.060492893408,25.5442934626193,25.1481053011497,24.9795081909267,25.0649188228158,24.5313172447107,23.9245883624417,23.6238425886405,24.4490375573234,23.5624716093059,24.2276315259439,24.3598974447169,23.6190013516664,24.4978651149073,24.628624677403,23.9454180197035,24.7605775750463,23.9779134094571,23.6296879270853
"Metab587",24.5060366011851,25.1627687861288,25.1969222660054,24.8018330748125,24.869257424837,23.4545824240613,23.9761454257715,24.1148305687806,23.9174542904151,24.3970475351336,25.3675019472854,25.5363090202819,24.7068475249721,25.0132259510472,24.0937785160296,25.1372106150524,24.8551109873118,23.9401510402968,24.6218698186236,26.9516021145653,24.5974019987739,27.1832680096157,26.4076006957548,25.863792956683,25.8377906195983,26.2956847579136,24.8287841441505,24.6280089106018,24.3557254337631,25.2788604599965,24.2193802924386,24.2267796014545,24.7327884449865,24.8591154897705,23.8134858629337,25.3680531305318,24.6921024604708,23.9267845044174,24.0506462955386,25.9000938181853,24.6636468682129,23.1742078789893,23.0610973730912,24.4076422411466,25.7120952310011,25.5856241555013,25.2745403953986,25.2962799002084,24.7086631776093,25.6684540047834,25.4370865197203,25.0751798204846,24.1800770862051,24.284593687533,24.4023191907026,24.9376544265736,25.6018216478118,24.3832317845217,26.6612447663785,25.7814531985674,25.8724941995306,25.4450863211462,24.762686140269,24.4802434525221,24.5461460079202,25.1123724556968,24.2648653591488,24.1066699073381,24.3075169407313,23.8458988354932,25.8684054715468,25.2888628044527,23.8064157801323,25.1316706950422,24.2446351848243,24.9590385300949
"Metab590",23.5675645604881,24.3391700332087,24.4172032598846,24.4677679798696,24.5737534641981,23.6627221577857,23.6291187100123,24.2460005778005,23.9015233213681,24.3893062295869,24.1498140180786,25.2467716461346,24.6354458515693,22.3716639522478,25.0100966379321,21.9542007976177,25.0240661964931,24.1038288599523,25.5867339959465,24.3711132060572,21.7215491265018,23.9081759370457,23.7172388350185,23.9929637315715,23.4886460314366,22.6441535521928,26.1750544028121,24.8222443017576,22.3179548457814,22.4885796528805,25.9317376625613,25.7650966071017,25.9611022195358,25.3337807989287,23.293317720896,22.5433035183274,21.9921998427364,22.3408604556739,22.2231706630655,22.1042763399655,22.7767856085251,19.5933347380824,19.5933347380824,20.2338949430597,23.5458183244772,25.510388494789,21.7711916682886,21.3475444900332,24.314841017543,24.618804714065,22.7403905201611,24.7461063209108,20.5296341130974,20.446288077339,20.6172903395242,20.886539512395,21.5269696248085,20.2986525220023,22.3331256378678,21.2737896794525,21.5396377704146,22.3918526109348,21.9766834216538,21.6524036792582,20.0838825729098,21.1238353317752,20.1715260246595,21.3978393537437,20.8311835115777,21.0113467744025,21.7394425986343,21.2842766275545,20.784269486486,21.2422342536636,20.4501007371913,21.6539864830118
"Metab589",25.1891628349437,25.7119254840227,25.8593523424913,25.8167816606014,25.5453599467419,25.002646859649,24.9736697797796,25.2444620273548,24.5630657008661,25.6372151522217,26.0269283532635,25.3938975523269,25.1785821722921,25.4572261085732,26.6992674386023,25.2565551834772,26.5388709790575,25.7797684246236,27.2234767035589,27.0316304710088,25.0696149712383,25.3373462878724,26.115318287347,25.8122493702187,25.7717613427493,23.8519404287471,26.9260724400131,26.3829131624102,25.3933155873884,25.1182566154934,26.7476685086823,26.5262584341221,26.7792731738141,26.5185024833796,25.0655283175646,25.2032267008764,24.7031820927493,24.7183970294064,25.2984962963218,25.1253930495648,24.7467154816397,23.315735236843,22.7421731072291,24.0363203700008,25.5096710301869,27.0665899415964,24.5952210885589,24.9062726208835,25.2955609920855,25.878198955611,25.4657638732639,27.5082671983401,23.2261514264832,23.0567574556471,23.4052078388757,23.8870704941159,24.5048901001072,22.5839981780975,25.512448149524,24.5040406131063,24.5901146989529,24.8197797770476,24.2918719138391,23.8264708999734,22.9827471852503,24.0948676673616,23.0231128711324,23.3226768473779,22.7490863034256,22.0495804515859,25.0254661309139,23.6940128147348,22.7617130038838,24.2478937809166,22.8847650355909,24.9887056891427
"Metab597",18.1424329753354,18.6298935077238,18.3905541791479,19.2512899383219,18.7936437815119,18.535905593031,18.3385475889665,17.5876952280527,18.9114751648366,18.1855412490848,18.367813075829,19.1408452683189,18.9763161363308,18.3457810880669,18.8472816974011,18.2686904561191,18.8794092554128,18.4997270928228,19.3441598940991,22.7455859997786,18.28898730058,18.8149734411454,18.0430009030892,18.2821168442409,18.7505443496148,23.1742610970984,19.2626018313038,18.2131027640151,18.5156756941446,18.253803408358,18.9485026641417,19.5325288457391,19.5666706211412,18.4921448081364,20.0747462270183,17.9926698448155,17.7782759154276,17.8809506310012,19.3902247551857,16.4660781753967,17.5734181257173,16.4660781753967,20.1658104240671,19.6700465050897,18.8423163948068,22.8299626714645,18.0240172590939,18.5823954277443,19.3427482584148,17.7922285639054,17.4797332767269,23.5854559687235,19.0089672634222,19.1253855694582,19.2795755881859,19.5949627426509,20.5063891915912,19.3146179532048,18.3431075758397,19.2824154806875,19.4393074689706,19.3005711190075,19.2189975145215,18.7958790449128,18.7198555322783,19.0897426477129,18.690618423653,19.4378564241891,19.4735131626696,19.2643723303646,18.1736248998251,18.85270126458,19.4015579792592,19.0777922649222,18.2672014427802,19.3490640949815
"Metab598",21.4208551417504,21.2777088372947,21.2399266869738,21.3892533032608,21.6899021144589,22.1351192918408,21.9818334026434,22.026456368942,22.563124713998,22.0433223779532,21.9195456308612,22.7447963297313,22.3321318495178,21.9572978187657,22.6467796771902,21.662225699343,21.7123940668001,21.9986205443064,23.3441940018605,24.2009085832758,20.3387946891533,21.598288162729,21.738752724853,20.9022016255268,20.9221548245533,26.1410332447101,21.3744628472017,20.798350424664,21.8011160158574,22.1785578254715,21.646589575365,21.6986907873054,21.6519627220865,22.5235742820894,21.919429692027,21.8786958473622,21.3508532739967,21.580375560893,20.3385230801182,21.8351380468961,22.3598290155114,19.5244686035359,20.6155450682527,21.3197456412914,23.1490888093018,25.1043422483443,21.8011747000655,21.8674562672874,21.4744601905795,22.0879888525692,22.0094113640854,24.0787060928581,23.937366886548,23.7466061942514,23.6492844567982,24.38496915837,23.8557139178881,24.7867612726027,22.3760907409244,23.0257820818277,23.2475399735769,23.3688423329959,23.1241220547016,23.5551991947773,25.0845261070708,23.2899524838556,24.9842969235687,24.0385585460313,25.7397122228807,24.2154514390618,22.2290568179437,24.0789567623531,25.7029592742202,23.3391841704572,24.3185618831245,21.7989459151869
"Metab596",27.5450780616969,27.9582447908945,28.1429836779269,27.8328161937425,27.6182162604876,26.5284857762411,26.8139625662685,26.764988091818,26.394592403819,27.3542496606434,26.9497998241845,27.4227166028332,26.7665016023188,27.8721050958276,27.458723593692,28.4842701191574,27.6995731313595,27.3521688757523,27.7396223328264,27.7254371511558,27.0322865446261,28.0458675743822,27.4958813477072,27.6802886241588,27.6395331977049,26.5273936690113,28.2391368666557,27.7344539544441,27.6405914659141,26.3268693479554,27.5223956059493,27.3056205378192,27.627920262789,27.4510123914264,28.0626816062,27.9490658594146,27.6749957346722,27.0776800148872,27.1334767635095,28.6855158184948,26.9347772520341,25.6681851192022,25.7715441069754,27.5891293623783,27.2365605508801,26.243832495987,27.4579423349595,27.8612045333172,24.8037557630161,25.5909261746639,26.9971317485223,26.443906753406,25.8989648439404,25.7509514107229,26.0213308989023,26.3691283733847,26.9509450105981,25.3798460948339,28.1113519192863,26.9510123245776,26.9063942583088,27.2102534013352,26.8065095829718,25.8333557705224,25.4711805534002,26.495735054054,25.1933899791152,25.8271098319544,25.3645400045269,24.8034589270954,27.5079233722116,26.1144340424021,25.2143686729196,26.946173611659,25.7814568740497,27.0376654305126
"Metab593",22.4878292644663,23.3296119332087,23.1735009932999,22.6850437670097,22.7466759098899,21.5026785698873,21.676551053335,22.01067697628,21.5371837247419,22.3145214505083,24.0341214003574,23.4756868559633,23.0624238584578,22.8974781528296,21.85891511469,23.7209227180605,23.1408613067513,22.1551660579939,23.3105811151255,26.3731350764153,22.8364423561169,26.2267801647122,23.6043847822142,23.8674839256157,24.4218953115069,23.3960208798936,23.7295951541583,22.970461047526,22.955804736936,23.578315641806,22.251911277607,22.2972600026708,22.6947300298248,22.6467162791699,23.1829186687369,23.6849332193142,23.012103105536,22.3324155007624,23.9501711010138,24.5795031844603,22.9739429621334,21.7928553648622,22.1501399106241,23.3483251602121,25.0347879593165,25.1187615906305,23.3439889027149,23.7394384532376,22.3806452757663,22.9587405309262,23.7644258878898,24.316408436057,21.3400638432016,21.0353533926786,21.4535038520725,22.4814142755955,23.1970413953485,20.9572550753337,24.7183803448936,23.3634205931401,23.2468539952554,22.9490438580212,22.2404270815445,21.3643452482142,21.1720549874931,22.4297845444547,21.0447060574366,20.6696162984801,20.6749907756842,20.5511615400486,23.8474107325901,22.2337613278347,20.64745610896,22.5169348815662,21.4740053522181,23.2366546676722
