"Feature_ID","Symbol"
"ARRDC3-AS1","ARRDC3-AS1"
"STPG3-AS1","STPG3-AS1"
"LINC01126","LINC01126"
"CCDC152","CCDC152"
"SLC25A21-AS1","SLC25A21-AS1"
"IRAG1-AS1","IRAG1-AS1"
"ZNF737","ZNF737"
"PCOLCE-AS1","PCOLCE-AS1"
"SCOC-AS1","SCOC-AS1"
"LOC100129917","LOC100129917"
"TMEM269","TMEM269"
"LOC100129931","LOC100129931"
"LOC100129935","LOC100129935"
"CCNT2-AS1","CCNT2-AS1"
"CERNA1","CERNA1"
"HDAC6","HDAC6"
"URAHP","URAHP"
"FTLP10","FTLP10"
"LOC100130075","LOC100130075"
"HSFX2","HSFX2"
"MAPT-IT1","MAPT-IT1"
"MIR124-2HG","MIR124-2HG"
"EFCAB14-AS1","EFCAB14-AS1"
"LINC00861","LINC00861"
"LOC100130238","LOC100130238"
"SLC24A3-AS1","SLC24A3-AS1"
"CCDC166","CCDC166"
"TFAP2A-AS1","TFAP2A-AS1"
"LOC100130298","LOC100130298"
"C8orf89","C8orf89"
"SUPT20HL1","SUPT20HL1"
"C17orf107","C17orf107"
"LOC100130331","LOC100130331"
"SCGB2B3P","SCGB2B3P"
"TMEM262","TMEM262"
"LOC100130357","LOC100130357"
"LOC100130370","LOC100130370"
"LINC00552","LINC00552"
"LINC02593","LINC02593"
"CECR7","CECR7"
"LOC100130449","LOC100130449"
"SPAG16-DT","SPAG16-DT"
"LOC100130452","LOC100130452"
"WAKMAR2","WAKMAR2"
"LINC01387","LINC01387"
"TMEM221","TMEM221"
"PARD6G-AS1","PARD6G-AS1"
"LINC02881","LINC02881"
"NFYC-AS1","NFYC-AS1"
"LINC00910","LINC00910"
"PRR32","PRR32"
"LOC100130673","LOC100130673"
"LOC100130691","LOC100130691"
"TP53TG3HP","TP53TG3HP"
"ATP6V1FNB","ATP6V1FNB"
"HDHD5-AS1","HDHD5-AS1"
"LRRC70","LRRC70"
"LRRC69","LRRC69"
"LOC100130744","LOC100130744"
"EFCAB10","EFCAB10"
"AGAP2-AS1","AGAP2-AS1"
"SBK3","SBK3"
"LOC100130849","LOC100130849"
"USP3-AS1","USP3-AS1"
"LOC100130872","LOC100130872"
"CREB3L2-AS1","CREB3L2-AS1"
"PSORS1C3","PSORS1C3"
"TSTD3","TSTD3"
"VAC14-AS1","VAC14-AS1"
"SMIM6","SMIM6"
"ZNF663P","ZNF663P"
"CSAG4","CSAG4"
"LOC100130950","LOC100130950"
"LINC01502","LINC01502"
"SYCE1L","SYCE1L"
"LOC100130964","LOC100130964"
"C6orf99","C6orf99"
"LOC100130987","LOC100130987"
"SPATA48","SPATA48"
"LOC100130992","LOC100130992"
"DNAH8-AS1","DNAH8-AS1"
"LINC01135","LINC01135"
"CKMT2-AS1","CKMT2-AS1"
"SRP14-AS1","SRP14-AS1"
"DPP9-AS1","DPP9-AS1"
"ZBTB20-AS1","ZBTB20-AS1"
"BSPH1","BSPH1"
"LINC01405","LINC01405"
"WDR86-AS1","WDR86-AS1"
"TSTD1","TSTD1"
"CCDC183-AS1","CCDC183-AS1"
"SNAP25-AS1","SNAP25-AS1"
"NEMP2","NEMP2"
"ZNF503-AS2","ZNF503-AS2"
"MIR181A1HG","MIR181A1HG"
"ANKRD63","ANKRD63"
"LOC100131257","LOC100131257"
