Feature_ID,row m/z,row retention time,row identity (all IDs),Identity Mapped,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00158,429.2061948,2.365167448,,,,,,,7,88,7.954545455,100,0,0,0
neg_00160,265.1075325,1.28369902,,,,,,,88,88,100,100,0,0,0
neg_00161,210.9311552,4.070015968,,,,,,,18,86,20.45454545,97.72727273,0,0,0
neg_00162,117.0555804,1.331241465,,,,,,,88,88,100,100,0,0,0
neg_00163,187.06103,2.374920336,,,,,,,13,88,14.77272727,100,0,0,0
neg_00164,183.0659404,1.359043396,4-HYDROXY-3-METHOXYPHENYLGLYCOL,4-Hydroxy-3-Methoxyphenylglycol,C9H12O4,C05594,HMDB0001490,,18,88,20.45454545,100,0,1,1
neg_00166,76.9979465,3.264166403,,,,,,,19,85,21.59090909,96.59090909,0,0,0
neg_00167,211.9260997,3.62424539,,,,,,,3,41,3.409090909,46.59090909,0,0,0
neg_00168,98.95577968,6.79417374,,,,,,,88,88,100,100,0,0,0
neg_00169,187.0972698,1.337462918,,,,,,,55,88,62.5,100,0,0,0
neg_00170,170.0819949,2.376238704,,,,,,,11,88,12.5,100,0,0,0
neg_00172,154.0871051,2.332599585,,,,,,,29,88,32.95454545,100,0,0,0
neg_00173,79.95723473,2.382369009,,,,,,,19,88,21.59090909,100,0,0,0
neg_00174,339.1991317,1.107127875,,,,,,,88,88,100,100,0,0,0
neg_00175,269.2480999,1.140406297,HEPTADECANOATE,Heptadecanoate,C17H34O2,,HMDB0002259,10465,88,88,100,100,0,1,1
neg_00176,227.0921155,2.360477305,,,,,,,7,88,7.954545455,100,0,0,0
neg_00177,134.049004,2.902884486,ADENINE,Adenine,C5H5N5,C00147,HMDB0000034,190,87,88,98.86363636,100,0,1,1
neg_00178,241.0561044,1.249535945,,,,,,,81,88,92.04545455,100,0,0,0
neg_00182,225.0764205,2.356537406,,,,,,,2,88,2.272727273,100,0,0,0
neg_00183,134.8648499,4.048643209,,,,,,,73,88,82.95454545,100,0,0,0
neg_00184,132.8676343,4.054490264,,,,,,,76,88,86.36363636,100,0,0,0
neg_00186,138.9704385,6.755809644,,,,,,,10,88,11.36363636,100,0,0,0
neg_00187,127.0398698,2.377686613,,,,,,,11,88,12.5,100,0,0,0
neg_00188,178.0506642,2.376421234,,,,,,,88,88,100,100,0,0,0
neg_00190,257.8445751,6.797471077,,,,,,,11,88,12.5,100,0,0,0
neg_00191,276.8414471,6.798633819,,,,,,,67,88,76.13636364,100,0,0,0
neg_00194,299.0259133,1.266487732,,,,,,,26,88,29.54545455,100,0,0,0
neg_00195,138.8897813,4.050381738,,,,,,,14,88,15.90909091,100,0,0,0
neg_00196,73.02940031,2.387429965,PROPIONATE,Propionate,C3H6O2,C00163,HMDB0000237,1032,75,88,85.22727273,100,0,1,1
neg_00198,111.9470326,3.269185023,,,,,,,14,88,15.90909091,100,0,0,0
neg_00199,134.9234268,4.043462043,,,,,,,8,88,9.090909091,100,0,0,0
neg_00200,447.1334425,1.131775858,,,,,,,85,88,96.59090909,100,0,0,0
neg_00201,165.8369917,4.064291639,,,,,,,70,88,79.54545455,100,0,0,0
neg_00205,279.2323862,1.134435563,LINOLEATE,Linoleate,C18H32O2,C01595,HMDB0000673,5280450,88,88,100,100,0,1,1
neg_00208,146.0317578,2.869370075,,,,,,,13,84,14.77272727,95.45454545,0,0,0
neg_00209,171.8315512,4.036055399,,,,,,,35,88,39.77272727,100,0,0,0
neg_00213,163.8400939,4.063618245,,,,,,,69,88,78.40909091,100,0,0,0
neg_00214,157.0867395,1.32046438,,,,,,,10,88,11.36363636,100,0,0,0
neg_00215,248.0536077,4.073078243,,,,,,,49,88,55.68181818,100,0,0,0
neg_00217,131.0095923,2.940812139,,,,,,,16,88,18.18181818,100,0,0,0
neg_00218,485.0678059,1.160527283,,,,,,,68,88,77.27272727,100,0,0,0
neg_00220,142.0506934,2.375833459,,,,,,,31,88,35.22727273,100,0,0,0
neg_00221,174.9371147,6.824977096,,,,,,,78,88,88.63636364,100,0,0,0
neg_00222,132.9291674,1.987353631,,,,,,,66,88,75,100,0,0,0
neg_00223,187.0972594,2.374987794,AZELAIC ACID,Azelaic acid,C9H16O4,C08261,HMDB0000784,2266,18,88,20.45454545,100,0,1,1
neg_00224,175.0482581,2.796960572,,,,,,,4,66,4.545454545,75,0,0,0
neg_00225,315.1808217,1.327333581,,,,,,,88,88,100,100,0,0,0
neg_00226,226.9960485,4.074405464,,,,,,,85,88,96.59090909,100,0,0,0
neg_00227,103.0399309,2.511283602,2-HYDROXYBUTYRIC ACID,2-Hydroxybutyric acid,C4H8O3,C05984,HMDB0000008,440864,9,88,10.22727273,100,0,1,1
neg_00228,132.0299949,5.156213678,D-ASPARTATE;L-ASPARTATE,Aspartate,C4H7NO4,C00049,HMDB0000191,5960,85,88,96.59090909,100,0,1,1
neg_00229,175.0244477,4.579119771,,,,,,,65,88,73.86363636,100,0,0,0
neg_00230,246.9500202,1.188467714,,,,,,,44,76,50,86.36363636,0,0,0
neg_00231,167.020722,3.937480954,URATE,Urate,C5H4N4O3,C00366,HMDB0000289,1175,86,88,97.72727273,100,0,1,1
neg_00232,133.0140286,5.895828302,(S)-MALATE;(R)-MALATE,Malate,C4H6O5,C00497|C00149,HMDB0031518|HMDB0000156,92824|222656,73,88,82.95454545,100,0,1,1
neg_00233,145.0616582,5.124670511,L-GLUTAMINE,L-Glutamine,C5H10N2O3,C00064,HMDB0000641,5961,87,88,98.86363636,100,0,1,1
neg_00234,228.9929181,4.073260556,,,,,,,85,88,96.59090909,100,0,0,0
neg_00235,103.039939,1.45342858,3-HYDROXYBUTANOIC ACID;2-HYDROXYBUTYRIC ACID,3-Hydroxybutanoic acid|2-Hydroxybutyric acid,C4H8O3|C4H8O3,C01089|C05984,HMDB0000011|HMDB0000008,92135|440864,19,88,21.59090909,100,0,1,1
