Feature_ID,K1A,K2A ,K2B ,K2C,K3A ,K4A ,K5B,K5C,K6A,K6B,TK1A ,TK2A,TK4A,TK4B,TK4C,TK4D,TK5B,TK5C,TK5D,TK5E
5436,9.456003491,9.029408197,9.356792324,9.178366639,9.831960387,9.623961907,9.396184808,9.213545935,9.58848747,9.283702434,9.456456542,12.35642217,9.674154422,10.55356845,9.373894627,9.480268184,9.557824685,10.12347105,12.29627716,10.38022833
6052,16.63762604,15.69893417,15.6846489,15.89639333,16.40459274,16.51607872,16.09558201,15.97038922,16.59219875,16.47075505,17.10280413,17.07117517,17.60544373,16.68568999,17.38583557,16.19112271,16.701175,16.17976117,16.30954391,16.98138645
7372,10.5222431,10.85650851,11.18190833,10.98535626,10.63060172,10.80226002,10.4241156,10.49690248,11.14379097,10.21067282,10.56883912,11.99159961,12.15808869,10.82448484,10.84840924,10.96384549,11.22932951,11.53146887,11.80991234,11.58040958
982,10.81918463,10.31087856,10.50165859,10.28475447,10.71948481,11.94622494,11.83987676,11.45340047,11.6688429,11.83409738,10.84124178,11.80759146,12.66602181,12.42322888,12.34773673,12.55536137,11.34284475,11.45860231,11.40497564,11.90376072
7536,,,,,,8.195522296,9.280532661,8.696852964,8.446389564,8.845859808,,,,,,9.39363485,10.12310456,9.251694092,9.193230573,
2314,9.84947369,9.68417706,10.60980202,9.970288232,9.595383263,10.70994224,9.777133026,9.854550738,9.452588518,10.00152557,10.11078775,11.07479445,10.65309294,10.63076813,9.879194329,10.00222526,10.32004051,10.88923272,12.34526461,10.56854374
6977,7.110358722,7.498644291,7.11505719,7.56552574,7.054819299,,,,,,8.355519752,7.442406995,8.015870237,,8.558199321,,,,,
1400,17.16799745,16.18059537,16.54509117,17.00184877,17.07659543,17.56926921,16.83819475,17.22878046,17.20912962,17.27518423,17.24100951,19.07778461,17.46170662,17.13842392,17.244869,17.83046695,17.22942576,17.48930417,18.34720688,17.40470546
5096,10.11408569,10.62116017,10.59073372,10.49926269,10.63432322,,,,,,10.7332211,11.65981914,11.44640356,11.04633732,10.752245,,,,,
5266,7.979986861,7.838627118,7.574631693,7.414179931,8.575836389,,,,,,8.594014516,,8.519762505,8.438446729,8.569713803,,,,,
