Feature_ID,row m/z,row retention time,row identity (all IDs),Metabolite,Mapping Type,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_04658,634.622669,14.558986,,,,,,,,5,20,25,100,0,0,0
neg_04659,314.945827,6.458012,,,,,,,,5,19,25,95,0,0,0
neg_04662,189.057282,2.963987,,,,,,,,2,10,10,50,0,0,0
neg_04663,114.001705,2.095421,,,,,,,,3,20,15,100,0,0,0
neg_04664,304.060270,6.287618,,,,,,,,4,20,20,100,0,0,0
neg_04665,192.961412,6.474899,,,,,,,,9,20,45,100,0,0,0
neg_04671,272.935482,6.488753,,,,,,,,5,20,25,100,0,0,0
neg_04672,82.029716,2.099272,,,,,,,,3,20,15,100,0,0,0
neg_04673,662.156269,5.354218,,,,,,,,11,19,55,95,0,0,0
neg_04674,206.081914,1.371950,N-Acetyl-L-Phenylalanine,N-Acetyl-L-Phenylalanine,1A,C11H13NO3,C03519,HMDB0000512,74839,6,20,30,100,0,1,1
neg_04677,574.684534,14.576807,,,,,,,,4,19,20,95,0,0,0
neg_04678,407.026739,5.856096,,,,,,,,4,15,20,75,0,0,0
neg_04681,423.058271,3.491540,,,,,,,,9,19,45,95,0,0,0
neg_04682,238.926918,1.778025,,,,,,,,7,20,35,100,0,0,0
neg_04685,260.103598,2.124830,,,,,,,,6,19,30,95,0,0,0
neg_04686,116.094618,3.311296,,,,,,,,4,20,20,100,0,0,0
neg_04687,256.994146,5.757779,,,,,,,,4,20,20,100,0,0,0
neg_04688,180.951763,5.112078,,,,,,,,2,20,10,100,0,0,0
neg_04689,116.049159,3.384739,,,,,,,,3,20,15,100,0,0,0
neg_04690,240.028470,3.161082,,,,,,,,4,19,20,95,0,0,0
neg_04691,390.980971,6.380565,,,,,,,,3,20,15,100,0,0,0
neg_04694,232.082279,2.994632,,,,,,,,5,18,25,90,0,0,0
neg_04696,90.935342,14.584686,,,,,,,,2,20,10,100,0,0,0
neg_04698,427.125678,4.596232,,,,,,,,10,20,50,100,0,0,0
neg_04701,114.984244,6.477028,,,,,,,,9,20,45,100,0,0,0
neg_04702,552.677259,14.572662,,,,,,,,7,20,35,100,0,0,0
neg_04707,132.929240,1.807776,,,,,,,,5,20,25,100,0,0,0
neg_04710,291.046689,4.539955,,,,,,,,6,13,30,65,0,0,0
neg_04712,752.550437,14.569556,,,,,,,,3,18,15,90,0,0,0
neg_04713,212.879551,14.580966,,,,,,,,2,20,10,100,0,0,0
neg_04714,94.029686,3.578430,,,,,,,,8,20,40,100,0,0,0
neg_04715,239.003520,6.347651,,,,,,,,5,20,25,100,0,0,0
neg_04717,184.061205,1.356623,,,,,,,,3,20,15,100,0,0,0
neg_04719,255.088224,2.230465,,,,,,,,4,20,20,100,0,0,0
neg_04722,97.492309,5.969945,,,,,,,,2,17,10,85,0,0,0
neg_04724,207.063012,3.797424,,,,,,,,4,20,20,100,0,0,0
neg_04725,401.056363,4.544433,,,,,,,,5,13,25,65,0,0,0
neg_04726,392.774369,14.595871,,,,,,,,10,20,50,100,0,0,0
neg_04729,158.911485,14.582900,,,,,,,,7,20,35,100,0,0,0
neg_04730,232.924355,8.416602,,,,,,,,3,20,15,100,0,0,0
neg_04732,309.045137,2.524330,,,,,,,,9,20,45,100,0,0,0
neg_04733,134.865007,1.762617,,,,,,,,5,20,25,100,0,0,0
neg_04734,154.948946,14.416291,,,,,,,,2,20,10,100,0,0,0
neg_04736,359.192939,4.401876,,,,,,,,2,13,10,65,0,0,0
neg_04738,127.897169,1.646967,,,,,,,,6,20,30,100,0,0,0
neg_04741,401.056685,3.722380,,,,,,,,7,19,35,95,0,0,0
neg_04743,134.026752,3.482949,,,,,,,,8,20,40,100,0,0,0
neg_04746,435.088508,2.862173,,,,,,,,6,20,30,100,0,0,0
neg_04748,321.045674,3.727054,,,,,,,,3,19,15,95,0,0,0
neg_04751,118.014429,3.679060,,,,,,,,8,20,40,100,0,0,0
neg_04752,290.062603,2.228676,,,,,,,,9,20,45,100,0,0,0
neg_04753,212.056132,1.353229,,,,,,,,2,20,10,100,0,0,0
neg_04756,310.854358,6.514540,,,,,,,,6,20,30,100,0,0,0
neg_04757,185.923348,14.426698,,,,,,,,8,20,40,100,0,0,0
neg_04761,121.971746,5.322758,,,,,,,,5,20,25,100,0,0,0
neg_04762,334.025962,6.363163,,,,,,,,7,20,35,100,0,0,0
neg_04766,788.507977,14.581057,,,,,,,,3,17,15,85,0,0,0
neg_04767,217.973739,6.027832,,,,,,,,2,20,10,100,0,0,0
neg_04769,465.079759,4.532965,,,,,,,,2,10,10,50,0,0,0
neg_04770,282.808852,14.469665,,,,,,,,3,17,15,85,0,0,0
neg_04772,712.596524,14.566632,,,,,,,,3,18,15,90,0,0,0
neg_04773,314.135455,2.153011,,,,,,,,7,20,35,100,0,0,0
neg_04774,422.110629,3.673980,,,,,,,,5,17,25,85,0,0,0
neg_04775,281.014051,6.454056,,,,,,,,2,12,10,60,0,0,0
neg_04778,654.593366,14.576355,,,,,,,,3,16,15,80,0,0,0
neg_04779,347.919451,6.484868,,,,,,,,5,20,25,100,0,0,0
neg_04780,134.970899,14.482209,,,,,,,,2,20,10,100,0,0,0
neg_04781,122.008006,5.441821,,,,,,,,6,20,30,100,0,0,0
neg_04783,97.492354,5.419418,,,,,,,,2,15,10,75,0,0,0
neg_04785,282.097897,1.336462,,,,,,,,3,20,15,100,0,0,0
neg_04786,475.094567,3.827502,,,,,,,,3,14,15,70,0,0,0
neg_04789,408.125446,3.541581,,,,,,,,2,12,10,60,0,0,0
neg_04790,376.117752,3.448167,,,,,,,,4,20,20,100,0,0,0
neg_04793,333.528012,6.359645,,,,,,,,7,20,35,100,0,0,0
neg_04796,225.984694,5.636953,,,,,,,,7,20,35,100,0,0,0
neg_04798,271.056901,6.433835,,,,,,,,2,17,10,85,0,0,0
neg_04802,388.087854,3.586726,,,,,,,,2,7,10,35,0,0,0
neg_04803,290.953929,3.999585,,,,,,,,4,20,20,100,0,0,0
neg_04805,267.995088,5.532128,,,,,,,,6,18,30,90,0,0,0
neg_04811,112.999058,5.340303,,,,,,,,2,20,10,100,0,0,0
neg_04814,226.071792,1.362363,,,,,,,,2,20,10,100,0,0,0
neg_04815,306.856508,6.518565,,,,,,,,8,20,40,100,0,0,0
neg_04816,235.036681,3.821139,,,,,,,,4,17,20,85,0,0,0
neg_04817,194.936525,14.565215,,,,,,,,5,20,25,100,0,0,0
neg_04818,281.020992,6.588493,,,,,,,,3,9,15,45,0,0,0
neg_04821,272.088529,6.232640,,,,,,,,4,20,20,100,0,0,0
neg_04822,317.822376,14.560732,,,,,,,,2,20,10,100,0,0,0
neg_04826,248.960036,1.808711,,,,,,,,2,20,10,100,0,0,0
neg_04827,269.121393,2.007678,,,,,,,,4,20,20,100,0,0,0
neg_04828,304.010542,6.010992,,,,,,,,5,13,25,65,0,0,0
neg_04830,311.018603,6.551340,,,,,,,,2,12,10,60,0,0,0
neg_04831,300.019160,5.334925,,,,,,,,7,19,35,95,0,0,0
neg_04833,332.145750,2.196162,,,,,,,,3,19,15,95,0,0,0
neg_04835,270.848240,14.570676,,,,,,,,3,20,15,100,0,0,0
neg_04840,275.040599,3.698291,,,,,,,,6,20,30,100,0,0,0
neg_04843,340.929999,6.478254,,,,,,,,4,19,20,95,0,0,0
neg_04844,190.970729,3.342454,,,,,,,,4,19,20,95,0,0,0
neg_04846,570.340595,1.862798,,,,,,,,4,20,20,100,0,0,0
neg_04847,533.205392,5.820798,,,,,,,,2,19,10,95,0,0,0
neg_04848,392.923067,6.472494,,,,,,,,2,18,10,90,0,0,0
neg_04849,278.066733,1.429588,,,,,,,,2,13,10,65,0,0,0
neg_04851,91.003543,3.670724,,,,,,,,2,19,10,95,0,0,0
neg_04853,336.015537,6.681448,,,,,,,,9,20,45,100,0,0,0
neg_04855,400.051491,5.813754,,,,,,,,2,9,10,45,0,0,0
neg_04859,313.949106,6.454650,,,,,,,,2,17,10,85,0,0,0
neg_04860,206.897077,14.437276,,,,,,,,3,20,15,100,0,0,0
neg_04861,161.026094,5.865513,,,,,,,,2,20,10,100,0,0,0
neg_04863,128.008349,2.917713,,,,,,,,6,20,30,100,0,0,0
neg_04865,308.982479,5.835739,,,,,,,,3,20,15,100,0,0,0
neg_04866,221.890342,14.581007,,,,,,,,4,20,20,100,0,0,0
neg_04871,388.087992,6.418597,,,,,,,,2,10,10,50,0,0,0
neg_04873,452.093141,1.574564,,,,,,,,4,19,20,95,0,0,0
neg_04876,164.904762,14.428461,,,,,,,,3,20,15,100,0,0,0
neg_04877,246.025218,6.075944,,,,,,,,5,19,25,95,0,0,0
neg_04880,289.936720,5.856911,,,,,,,,2,20,10,100,0,0,0
neg_04881,271.990009,6.365981,,,,,,,,2,16,10,80,0,0,0
neg_04882,306.039623,6.383657,,,,,,,,4,18,20,90,0,0,0
neg_04884,316.980387,6.346577,,,,,,,,4,15,20,75,0,0,0
neg_04885,168.520376,5.923867,,,,,,,,4,20,20,100,0,0,0
neg_04889,276.557503,6.405783,,,,,,,,2,16,10,80,0,0,0
neg_04890,297.056218,5.547333,,,,,,,,2,20,10,100,0,0,0
neg_04892,314.857382,6.512763,,,,,,,,5,20,25,100,0,0,0
neg_04894,308.854859,6.506610,,,,,,,,3,19,15,95,0,0,0
neg_04896,179.030079,5.979060,,,,,,,,2,20,10,100,0,0,0
neg_04897,248.041421,6.037133,,,,,,,,3,19,15,95,0,0,0
neg_04902,304.923958,5.750277,,,,,,,,2,17,10,85,0,0,0
neg_04906,262.877358,14.381276,,,,,,,,8,20,40,100,0,0,0
neg_04909,635.123983,6.355313,,,,,,,,5,20,25,100,0,0,0
neg_04917,649.092296,6.359992,,,,,,,,5,20,25,100,0,0,0
neg_04923,237.950093,6.823602,,,,,,,,2,20,10,100,0,0,0
neg_04926,139.006805,8.343638,,,,,,,,7,20,35,100,0,0,0
neg_04927,278.880942,15.090135,,,,,,,,5,20,25,100,0,0,0
neg_04929,217.107797,8.343193,,,,,,,,7,20,35,100,0,0,0
neg_04934,299.200923,1.081210,Retinoate,Retinoate,1A,C20H28O2,C00777,HMDB0012874,24771817,5,20,25,100,0,1,1
neg_04935,199.027020,2.059619,,,,,,,,2,20,10,100,0,0,0
neg_04936,221.128664,1.063222,,,,,,,,4,12,20,60,0,0,0
neg_04937,283.135212,1.092552,,,,,,,,4,20,20,100,0,0,0
neg_04939,227.128846,2.100661,,,,,,,,3,20,15,100,0,0,0
neg_04940,124.099221,4.939160,,,,,,,,7,20,35,100,0,0,0
neg_04948,353.214339,0.992669,,,,,,,,2,20,10,100,0,0,0
neg_04950,174.982568,4.673206,,,,,,,,2,19,10,95,0,0,0
neg_04951,104.017469,2.191725,,,,,,,,4,10,20,50,0,0,0
neg_04952,321.002689,4.327569,,,,,,,,6,19,30,95,0,0,0
neg_04953,124.176696,4.946363,,,,,,,,3,20,15,100,0,0,0
neg_04954,262.995203,1.152656,,,,,,,,3,6,15,30,0,0,0
neg_04956,225.160639,1.675255,,,,,,,,4,13,20,65,0,0,0
neg_04958,225.160559,2.018318,,,,,,,,4,19,20,95,0,0,0
neg_04960,443.264168,1.108443,,,,,,,,3,7,15,35,0,0,0
neg_04961,109.941830,6.611848,,,,,,,,10,20,50,100,0,0,0
neg_04965,151.984404,2.237452,,,,,,,,3,17,15,85,0,0,0
neg_04966,196.975846,2.171618,,,,,,,,6,20,30,100,0,0,0
neg_04967,337.124809,4.275391,,,,,,,,4,15,20,75,0,0,0
neg_04969,367.104370,4.283018,,,,,,,,2,11,10,55,0,0,0
neg_04970,318.009532,4.326329,,,,,,,,4,19,20,95,0,0,0
neg_04971,506.124051,4.876289,,,,,,,,2,18,10,90,0,0,0
neg_04972,132.910675,5.693017,,,,,,,,5,20,25,100,0,0,0
neg_04976,128.941667,2.160968,,,,,,,,7,20,35,100,0,0,0
neg_04978,303.330167,1.036700,,,,,,,,3,20,15,100,0,0,0
neg_04979,236.987654,6.279056,,,,,,,,3,20,15,100,0,0,0
neg_04980,844.518198,0.977545,,,,,,,,2,20,10,100,0,0,0
neg_04982,221.630298,1.080542,,,,,,,,2,6,10,30,0,0,0
neg_04986,255.034756,4.142722,,,,,,,,4,20,20,100,0,0,0
neg_04987,281.044447,5.024126,,,,,,,,4,20,20,100,0,0,0
neg_04988,423.165758,1.069171,,,,,,,,3,4,15,20,0,0,0
neg_04990,295.263926,1.035363,,,,,,,,2,20,10,100,0,0,0
neg_04993,119.994575,1.119309,,,,,,,,3,9,15,45,0,0,0
neg_04994,207.087049,2.295610,,,,,,,,3,20,15,100,0,0,0
neg_04996,139.112650,1.208829,,,,,,,,4,20,20,100,0,0,0
neg_04997,257.175201,1.219184,,,,,,,,4,20,20,100,0,0,0
neg_04999,378.071940,4.960971,,,,,,,,7,19,35,95,0,0,0
neg_05005,215.091294,4.300186,,,,,,,,2,20,10,100,0,0,0
neg_05006,244.046256,5.041465,,,,,,,,5,14,25,70,0,0,0
neg_05007,436.158242,4.722257,,,,,,,,4,20,20,100,0,0,0
neg_05008,413.240587,1.268574,,,,,,,,2,20,10,100,0,0,0
neg_05014,205.052249,4.262590,,,,,,,,2,20,10,100,0,0,0
neg_05017,170.012380,4.677603,,,,,,,,3,20,15,100,0,0,0
neg_05018,425.110476,4.789802,,,,,,,,6,19,30,95,0,0,0
neg_05019,347.010436,3.072375,,,,,,,,2,19,10,95,0,0,0
neg_05021,205.035103,4.997691,,,,,,,,3,20,15,100,0,0,0
neg_05022,278.014052,4.263383,,,,,,,,5,17,25,85,0,0,0
neg_05023,379.068384,4.297572,,,,,,,,2,15,10,75,0,0,0
neg_05025,375.989327,3.069296,,,,,,,,7,20,35,100,0,0,0
neg_05026,251.092778,1.205279,,,,,,,,3,17,15,85,0,0,0
neg_05028,335.294938,1.020301,,,,,,,,7,20,35,100,0,0,0
neg_05030,111.937305,6.609946,,,,,,,,9,20,45,100,0,0,0
neg_05032,98.948928,1.611976,,,,,,,,6,20,30,100,0,0,0
neg_05033,272.023293,4.556614,,,,,,,,2,20,10,100,0,0,0
neg_05034,331.046225,2.452273,,,,,,,,3,18,15,90,0,0,0
neg_05035,376.078891,6.348183,,,,,,,,5,14,25,70,0,0,0
neg_05038,192.029836,4.188063,,,,,,,,2,20,10,100,0,0,0
neg_05042,238.019136,4.945165,,,,,,,,6,20,30,100,0,0,0
neg_05045,381.047472,4.079819,,,,,,,,3,18,15,90,0,0,0
neg_05048,369.083865,4.060688,,,,,,,,2,20,10,100,0,0,0
neg_05050,371.136000,4.545823,,,,,,,,6,19,30,95,0,0,0
neg_05051,241.011568,4.682527,,,,,,,,3,20,15,100,0,0,0
neg_05054,223.986866,6.599797,,,,,,,,3,17,15,85,0,0,0
neg_05055,405.047455,2.644725,,,,,,,,3,18,15,90,0,0,0
neg_05057,374.021252,3.025064,,,,,,,,3,19,15,95,0,0,0
neg_05058,173.995939,1.509434,,,,,,,,2,20,10,100,0,0,0
neg_05059,240.051007,2.095178,,,,,,,,5,20,25,100,0,0,0
neg_05060,476.092447,4.530207,,,,,,,,9,19,45,95,0,0,0
neg_05061,385.212699,3.500360,,,,,,,,3,5,15,25,0,0,0
neg_05062,230.987082,4.063307,,,,,,,,2,20,10,100,0,0,0
neg_05063,243.027124,5.391315,,,,,,,,5,20,25,100,0,0,0
neg_05064,263.031484,3.523749,,,,,,,,5,17,25,85,0,0,0
neg_05065,128.017338,1.212480,,,,,,,,5,18,25,90,0,0,0
neg_05066,278.033582,3.369238,,,,,,,,2,12,10,60,0,0,0
neg_05070,266.023723,3.297222,,,,,,,,2,18,10,90,0,0,0
neg_05071,212.103774,4.613686,,,,,,,,2,20,10,100,0,0,0
neg_05073,164.010037,2.017034,,,,,,,,8,20,40,100,0,0,0
neg_05074,224.004914,4.620388,,,,,,,,3,20,15,100,0,0,0
neg_05075,132.923229,5.347888,,,,,,,,4,20,20,100,0,0,0
neg_05076,309.093450,4.710196,,,,,,,,5,19,25,95,0,0,0
neg_05079,82.029703,3.012704,,,,,,,,2,20,10,100,0,0,0
neg_05080,305.017628,3.145684,,,,,,,,2,16,10,80,0,0,0
neg_05082,240.000358,4.929796,,,,,,,,4,16,20,80,0,0,0
neg_05084,161.913412,7.070979,,,,,,,,2,20,10,100,0,0,0
neg_05085,130.014387,3.676241,,,,,,,,10,20,50,100,0,0,0
neg_05090,201.905910,7.700371,,,,,,,,6,20,30,100,0,0,0
neg_05091,213.026209,2.821498,,,,,,,,2,20,10,100,0,0,0
neg_05093,210.033375,3.637248,,,,,,,,3,20,15,100,0,0,0
neg_05095,309.855553,6.510987,,,,,,,,4,20,20,100,0,0,0
neg_05098,149.010315,1.994138,,,,,,,,3,20,15,100,0,0,0
neg_05099,341.036776,4.072139,,,,,,,,2,20,10,100,0,0,0
neg_05100,422.087179,7.081184,,,,,,,,7,18,35,90,0,0,0
neg_05102,288.956099,4.008211,,,,,,,,4,20,20,100,0,0,0
neg_05105,87.023044,4.310319,,,,,,,,2,20,10,100,0,0,0
neg_05106,235.991245,6.301196,,,,,,,,3,19,15,95,0,0,0
neg_05110,266.008438,6.270056,,,,,,,,4,18,20,90,0,0,0
neg_05111,280.012793,3.753090,,,,,,,,2,18,10,90,0,0,0
neg_05112,426.129542,4.585239,,,,,,,,3,18,15,90,0,0,0
neg_05117,238.888571,15.030521,,,,,,,,5,20,25,100,0,0,0
neg_05118,196.042268,6.142706,,,,,,,,2,18,10,90,0,0,0
neg_05119,195.941546,6.168933,,,,,,,,4,17,20,85,0,0,0
neg_05121,184.958181,6.545515,,,,,,,,5,20,25,100,0,0,0
neg_05123,466.942259,5.858677,,,,,,,,4,20,20,100,0,0,0
neg_05124,111.947056,6.122710,,,,,,,,3,20,15,100,0,0,0
neg_05130,308.186368,8.341018,,,,,,,,5,20,25,100,0,0,0
neg_05131,156.908079,11.206423,,,,,,,,8,20,40,100,0,0,0
neg_05136,254.015007,4.502645,,,,,,,,3,20,15,100,0,0,0
neg_05138,323.088029,2.068159,,,,,,,,4,19,20,95,0,0,0
neg_05141,210.043929,1.319723,,,,,,,,2,20,10,100,0,0,0
neg_05142,163.039844,1.264685,Phenylpyruvate,Phenylpyruvate,1A,C9H8O3,C00166,HMDB0000205,997,4,20,20,100,0,1,1
neg_05143,179.035485,2.101973,3-(4-Hydroxyphenyl)pyruvate,3-(4-Hydroxyphenyl)pyruvate,1A,C9H8O4,C01179,HMDB0000707,6971070,7,20,35,100,0,1,1
neg_05145,431.090915,4.876281,,,,,,,,2,18,10,90,0,0,0
neg_05147,136.028075,3.026030,,,,,,,,3,20,15,100,0,0,0
neg_05150,563.178318,4.700810,,,,,,,,2,12,10,60,0,0,0
neg_05153,206.048894,4.247037,,,,,,,,5,20,25,100,0,0,0
neg_05154,288.928975,3.590698,,,,,,,,3,18,15,90,0,0,0
neg_05158,154.061952,5.318608,,,,,,,,2,20,10,100,0,0,0
neg_05161,116.936076,14.578602,,,,,,,,5,20,25,100,0,0,0
neg_05165,316.080255,4.254864,,,,,,,,2,20,10,100,0,0,0
neg_05168,158.045557,2.065544,,,,,,,,8,20,40,100,0,0,0
neg_05178,325.089185,3.370335,,,,,,,,2,17,10,85,0,0,0
neg_05181,387.193825,1.146246,,,,,,,,6,18,30,90,0,0,0
neg_05183,249.094129,4.936689,,,,,,,,8,20,40,100,0,0,0
neg_05184,365.083368,3.400116,,,,,,,,3,17,15,85,0,0,0
neg_05185,115.026245,5.719318,,,,,,,,4,20,20,100,0,0,0
neg_05188,348.086544,4.233543,,,,,,,,2,9,10,45,0,0,0
neg_05189,534.488497,1.033118,,,,,,,,3,20,15,100,0,0,0
neg_05190,124.971328,2.783558,,,,,,,,6,20,30,100,0,0,0
neg_05192,365.232624,1.096318,,,,,,,,3,19,15,95,0,0,0
neg_05193,273.957852,3.082366,,,,,,,,2,20,10,100,0,0,0
neg_05194,385.061887,4.649857,,,,,,,,2,7,10,35,0,0,0
neg_05196,244.137516,1.121807,,,,,,,,3,19,15,95,0,0,0
neg_05199,803.233390,3.238914,,,,,,,,6,18,30,90,0,0,0
neg_05201,316.952280,3.116026,,,,,,,,2,20,10,100,0,0,0
neg_05204,279.067559,2.496608,,,,,,,,3,18,15,90,0,0,0
neg_05206,522.282668,1.082574,,,,,,,,2,19,10,95,0,0,0
neg_05207,289.067239,2.874858,,,,,,,,7,20,35,100,0,0,0
neg_05211,194.900626,5.593857,,,,,,,,2,14,10,70,0,0,0
neg_05216,361.081924,5.521350,,,,,,,,4,20,20,100,0,0,0
neg_05220,381.030579,3.621875,,,,,,,,6,19,30,95,0,0,0
neg_05221,347.025273,4.621894,,,,,,,,2,13,10,65,0,0,0
neg_05226,433.072922,2.849705,,,,,,,,4,14,20,70,0,0,0
neg_05227,288.965183,3.178230,,,,,,,,3,19,15,95,0,0,0
neg_05229,317.066605,4.107139,,,,,,,,4,16,20,80,0,0,0
neg_05230,309.111906,2.198010,,,,,,,,3,20,15,100,0,0,0
neg_05231,210.016976,5.324864,,,,,,,,4,20,20,100,0,0,0
neg_05236,290.980785,5.712440,,,,,,,,3,16,15,80,0,0,0
neg_05237,234.061996,5.330812,,,,,,,,3,20,15,100,0,0,0
neg_05238,260.022889,5.038540,,,,,,,,5,20,25,100,0,0,0
neg_05240,327.984143,5.336081,,,,,,,,3,18,15,90,0,0,0
neg_05241,390.114821,3.086122,,,,,,,,4,18,20,90,0,0,0
neg_05242,459.099964,3.229272,,,,,,,,2,17,10,85,0,0,0
neg_05245,268.929274,4.000032,,,,,,,,3,20,15,100,0,0,0
neg_05247,296.061902,5.363243,,,,,,,,4,20,20,100,0,0,0
neg_05249,422.953134,5.205640,,,,,,,,3,18,15,90,0,0,0
neg_05250,203.960179,5.350335,,,,,,,,4,20,20,100,0,0,0
neg_05252,303.968288,2.979227,,,,,,,,2,19,10,95,0,0,0
neg_05253,134.008084,2.195984,,,,,,,,6,20,30,100,0,0,0
neg_05255,206.048599,1.549233,,,,,,,,7,20,35,100,0,0,0
neg_05256,486.055264,4.542833,,,,,,,,4,15,20,75,0,0,0
neg_05260,136.985492,5.717918,,,,,,,,2,20,10,100,0,0,0
neg_05263,210.539773,7.100971,,,,,,,,3,13,15,65,0,0,0
neg_05270,537.330128,1.237388,,,,,,,,3,20,15,100,0,0,0
neg_05272,509.112659,2.838820,,,,,,,,6,18,30,90,0,0,0
neg_05273,330.979060,3.079418,,,,,,,,2,20,10,100,0,0,0
neg_05275,556.163721,5.312731,,,,,,,,4,20,20,100,0,0,0
neg_05278,411.041116,2.294550,,,,,,,,2,19,10,95,0,0,0
neg_05280,104.054649,5.350371,,,,,,,,6,20,30,100,0,0,0
neg_05281,183.004477,1.226250,,,,,,,,8,20,40,100,0,0,0
neg_05282,126.055872,4.479141,,,,,,,,4,20,20,100,0,0,0
neg_05286,260.088381,3.557058,,,,,,,,8,20,40,100,0,0,0
neg_05292,362.102337,3.924899,,,,,,,,2,20,10,100,0,0,0
neg_05295,209.066434,3.557071,,,,,,,,3,20,15,100,0,0,0
neg_05297,128.061751,2.923100,,,,,,,,4,20,20,100,0,0,0
neg_05298,321.129791,5.206508,,,,,,,,6,20,30,100,0,0,0
neg_05299,285.207075,1.120553,,,,,,,,7,20,35,100,0,0,0
neg_05300,180.016098,2.947403,,,,,,,,4,20,20,100,0,0,0
neg_05302,195.032979,2.207636,,,,,,,,5,20,25,100,0,0,0
neg_05303,277.036130,5.736406,,,,,,,,3,20,15,100,0,0,0
neg_05305,442.077852,2.865336,,,,,,,,4,18,20,90,0,0,0
neg_05311,315.931770,3.030824,,,,,,,,5,19,25,95,0,0,0
neg_05312,372.970238,4.368084,,,,,,,,8,20,40,100,0,0,0
neg_05320,311.037278,5.424589,,,,,,,,4,17,20,85,0,0,0
neg_05323,236.059565,2.248654,,,,,,,,2,17,10,85,0,0,0
neg_05325,185.056456,3.456403,,,,,,,,3,20,15,100,0,0,0
neg_05328,378.103603,4.158343,,,,,,,,2,20,10,100,0,0,0
neg_05331,237.987354,5.743502,,,,,,,,3,20,15,100,0,0,0
neg_05332,165.055397,1.284872,3-(2-Hydroxyphenyl)propanoate,3-(2-Hydroxyphenyl)propanoate,1A,C9H10O3,C01198,HMDB0033624,6930705,0,20,0,100,0,1,1
neg_05338,239.996256,6.031022,,,,,,,,2,20,10,100,0,0,0
neg_05341,194.855335,6.651716,,,,,,,,2,20,10,100,0,0,0
neg_05346,420.799186,14.553476,,,,,,,,2,20,10,100,0,0,0
neg_05348,212.036409,6.026494,,,,,,,,3,17,15,85,0,0,0
neg_05351,233.086382,8.468391,,,,,,,,4,17,20,85,0,0,0
neg_05354,616.145238,6.355628,,,,,,,,2,20,10,100,0,0,0
neg_05355,251.096840,8.445934,,,,,,,,3,18,15,90,0,0,0
neg_05359,228.999673,3.776549,,,,,,,,4,20,20,100,0,0,0
neg_05364,203.092239,8.361489,,,,,,,,3,20,15,100,0,0,0
neg_05366,211.938609,7.829384,,,,,,,,2,18,10,90,0,0,0
neg_05379,229.046308,1.352812,,,,,,,,5,17,25,85,0,0,0
neg_05380,154.050694,2.066250,,,,,,,,2,20,10,100,0,0,0
neg_05381,234.063679,1.052685,,,,,,,,6,20,30,100,0,0,0
neg_05393,337.070667,1.247816,,,,,,,,2,20,10,100,0,0,0
neg_05395,201.076529,4.174797,,,,,,,,2,20,10,100,0,0,0
neg_05401,114.019446,2.058121,,,,,,,,3,20,15,100,0,0,0
neg_05404,349.191598,1.274258,,,,,,,,3,20,15,100,0,0,0
neg_05416,231.109297,4.165916,,,,,,,,2,16,10,80,0,0,0
neg_05420,313.930627,4.469918,,,,,,,,3,19,15,95,0,0,0
neg_05434,184.001549,2.117061,,,,,,,,3,19,15,95,0,0,0
neg_05435,315.180808,1.190064,,,,,,,,2,20,10,100,0,0,0
neg_05441,193.046536,2.195567,,,,,,,,2,20,10,100,0,0,0
neg_05453,279.035333,3.622820,,,,,,,,9,20,45,100,0,0,0
neg_05455,185.045277,1.273103,,,,,,,,4,20,20,100,0,0,0
neg_05461,181.994926,2.112372,,,,,,,,4,20,20,100,0,0,0
neg_05463,194.998027,4.227663,,,,,,,,2,20,10,100,0,0,0
neg_05464,336.075304,1.180282,,,,,,,,3,20,15,100,0,0,0
neg_05466,318.174963,1.264327,,,,,,,,2,20,10,100,0,0,0
neg_05469,209.047207,1.254190,,,,,,,,3,20,15,100,0,0,0
neg_05472,140.912581,4.346806,,,,,,,,4,18,20,90,0,0,0
neg_05480,315.253346,1.088093,,,,,,,,2,20,10,100,0,0,0
neg_05494,231.123513,1.255034,,,,,,,,5,20,25,100,0,0,0
neg_05495,201.076632,1.324633,Diethyl 2-Methyl-3-Oxosuccinate,Diethyl 2-Methyl-3-Oxosuccinate,1A,C9H14O5,C04067,HMDB0032306,97750,0,20,0,100,0,1,1
neg_05496,223.064286,1.138570,,,,,,,,2,20,10,100,0,0,0
neg_05498,417.855247,13.859479,,,,,,,,5,20,25,100,0,0,0
neg_05506,108.937250,4.296964,,,,,,,,2,20,10,100,0,0,0
neg_05510,283.155060,1.133519,,,,,,,,5,20,25,100,0,0,0
neg_05514,673.478960,1.052745,,,,,,,,3,20,15,100,0,0,0
neg_05516,194.043001,2.360446,,,,,,,,3,20,15,100,0,0,0
neg_05518,193.837079,4.304991,,,,,,,,2,18,10,90,0,0,0
neg_05520,189.997817,3.740609,,,,,,,,4,20,20,100,0,0,0
neg_05521,250.995157,2.428126,,,,,,,,4,19,20,95,0,0,0
neg_05524,223.039103,2.708081,,,,,,,,4,20,20,100,0,0,0
neg_05525,297.079551,5.547743,,,,,,,,4,19,20,95,0,0,0
neg_05526,320.059340,4.018887,,,,,,,,2,20,10,100,0,0,0
