Feature_ID,row m/z,row retention time,row identity (all IDs),Metabolite,Mapping Type,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00081,163.024572,4.092444,,,,,,,,20,20,100,100,0,0,0
neg_00082,303.232469,1.033960,Arachidonic acid,Arachidonic acid,1A,C20H32O2,C00219,HMDB0001043,444899,20,20,100,100,0,1,1
neg_00084,198.071304,4.207287,,,,,,,,20,20,100,100,0,0,0
neg_00085,268.923946,13.938475,,,,,,,,20,20,100,100,0,0,0
neg_00086,171.138779,1.115398,Decanoate,Decanoate,1A,C10H20O2,C01571,HMDB0000511,4678093,20,20,100,100,0,1,1
neg_00087,191.019439,5.286992,,,,,,,,19,20,95,100,0,0,0
neg_00088,267.073016,3.249083,Inosine,Inosine,1A,C10H12N4O5,C00294,HMDB0000195,135398641,20,20,100,100,0,1,1
neg_00090,208.064738,2.063712,,,,,,,,8,20,40,100,0,0,0
neg_00091,107.045211,5.352346,L-Serine (13C3),,9X,,,,,4,20,20,100,1,1,0
neg_00093,325.183744,0.993800,,,,,,,,18,20,90,100,0,0,0
neg_00094,135.030980,2.934931,Hypoxanthine,Hypoxanthine,1A,C5H4N4O,C00262,HMDB0000157,135398638,19,20,95,100,0,1,1
neg_00095,311.168252,1.015337,,,,,,,,20,20,100,100,0,0,0
neg_00096,152.002000,2.837668,,,,,,,,20,20,100,100,0,0,0
neg_00097,184.967669,13.943377,,,,,,,,20,20,100,100,0,0,0
neg_00098,197.012229,1.306821,,,,,,,,20,20,100,100,0,0,0
neg_00099,199.037383,3.279998,,,,,,,,14,20,70,100,0,0,0
neg_00100,140.977935,13.945647,,,,,,,,20,20,100,100,0,0,0
neg_00101,126.002912,4.936490,,,,,,,,20,20,100,100,0,0,0
neg_00102,144.029999,2.061293,,,,,,,,14,20,70,100,0,0,0
neg_00103,134.047000,2.449040,Adenine,Adenine,1A,C5H5N5,C00147,HMDB0000034,190,20,20,100,100,0,1,1
neg_00104,226.978196,1.307562,,,,,,,,20,20,100,100,0,0,0
neg_00105,440.859815,13.949780,,,,,,,,20,20,100,100,0,0,0
neg_00106,149.060530,1.300249,,,,,,,,20,20,100,100,0,0,0
neg_00107,149.096903,1.261354,,,,,,,,20,20,100,100,0,0,0
neg_00108,136.891405,4.203461,,,,,,,,20,20,100,100,0,0,0
neg_00109,226.996078,4.222373,,,,,,,,20,20,100,100,0,0,0
neg_00110,166.017648,2.415469,,,,,,,,20,20,100,100,0,0,0
neg_00111,481.228593,1.300314,,,,,,,,20,20,100,100,0,0,0
neg_00113,199.170034,1.079597,Lauric acid,Lauric acid,1A,C12H24O2,C02679,HMDB0000638,3893,20,20,100,100,0,1,1
neg_00114,152.035657,2.871414,,,,,,,,19,20,95,100,0,0,0
neg_00115,111.019781,2.379637,Uracil,Uracil,1A,C4H4N2O2,C00106,HMDB0000300,1174,20,20,100,100,0,1,1
neg_00116,769.501463,0.975765,,,,,,,,20,20,100,100,0,0,0
neg_00117,96.988123,13.946712,,,,,,,,20,20,100,100,0,0,0
neg_00119,130.087026,3.154102,L-Isoleucine;Leucine;Norleucine,L-Isoleucine|L-Leucine|L-Norleucine,1A|1B|1B,C6H13NO2|C6H13NO2|C6H13NO2,C00407|C00123|C01933,HMDB0000172|HMDB0000687|HMDB0001645,6306|6106|21236,20,20,100,100,0,1,1
neg_00120,115.003473,5.717690,Maleic acid;Fumarate,Maleic acid|Fumarate,1A|1A,C4H4O4|C4H4O4,C01384|C00122,HMDB0000176|HMDB0000134,444266|5460307,20,20,100,100,0,1,1
neg_00121,556.324728,1.257984,,,,,,,,20,20,100,100,0,0,0
neg_00122,747.516068,0.973898,,,,,,,,19,20,95,100,0,0,0
neg_00123,346.055356,4.503069,Adenosine 5'-monophosphate,Adenosine 5'-monophosphate,1A,C10H14N5O7P,C00020,HMDB0000045,6083,20,20,100,100,0,1,1
neg_00124,332.191062,1.264820,,,,,,,,20,20,100,100,0,0,0
neg_00125,160.949126,14.574653,,,,,,,,20,20,100,100,0,0,0
neg_00126,139.975324,14.569638,,,,,,,,20,20,100,100,0,0,0
neg_00127,95.985554,14.567774,,,,,,,,20,20,100,100,0,0,0
neg_00128,196.894609,5.607576,,,,,,,,20,20,100,100,0,0,0
neg_00129,191.067069,4.204853,,,,,,,,20,20,100,100,0,0,0
neg_00130,157.036423,4.469826,Allantoin,Allantoin,1A,C4H6N4O3,C01551,HMDB0000462,204,20,20,100,100,0,1,1
neg_00131,368.208834,1.264251,,,,,,,,20,20,100,100,0,0,0
neg_00132,211.027892,1.240943,,,,,,,,20,20,100,100,0,0,0
neg_00133,347.885194,13.940263,,,,,,,,20,20,100,100,0,0,0
neg_00134,413.196397,1.204479,,,,,,,,20,20,100,100,0,0,0
neg_00135,217.047891,4.425298,,,,,,,,7,20,35,100,0,0,0
neg_00136,306.208733,1.264354,,,,,,,,20,20,100,100,0,0,0
neg_00137,213.112967,1.246818,,,,,,,,20,20,100,100,0,0,0
neg_00138,89.015393,2.181753,Pyruvate (13C2),,9X,,,,,20,20,100,100,1,1,0
neg_00139,129.055541,2.058733,,,,,,,,3,20,15,100,0,0,0
neg_00140,144.975227,13.938548,,,,,,,,20,20,100,100,0,0,0
neg_00141,171.102414,1.249098,,,,,,,,20,20,100,100,0,0,0
neg_00142,327.232408,1.027663,Docosahexaenoic acid (DHA),Docosahexaenoic acid,4A,C22H32O2,C06429,HMDB0002183,445580,20,20,100,100,0,1,1
neg_00143,367.881358,13.935641,,,,,,,,20,20,100,100,0,0,0
neg_00144,110.975565,2.306707,,,,,,,,20,20,100,100,0,0,0
